bathrooms,bedrooms,brokerId,city,comingSoonOnMarketDate,country,currency,datePriceChanged,dateSold,daysOnZillow,desktopWebHdpImageLink,group_type,grouping_name,hiResImageLink,homeStatus,homeStatusForHDP,homeType,imageLink,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,mediumImageLink,newConstructionType,openHouse,open_house_info,photoCount,price,priceChange,priceForHDP,priceReduction,priceSuffix,providerListingID,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,tvCollectionImageLink,tvHighResImageLink,tvImageLink,unit,videoCount,watchImageLink,zestimate,zipcode,zpid
3.0,4.0,12653,Matthews,,USA,USD,,,7,https://photos.zillowstatic.com/p_h/IS3rl50wo6g8mh0000000000.jpg,BUILDER_COMMUNITY,Chase View,https://photos.zillowstatic.com/p_f/IS3rl50wo6g8mh0000000000.jpg,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/IS3rl50wo6g8mh0000000000.jpg,False,True,False,True,,False,False,35.16156,{'is_newHome': True},2644.0,-80.72034,,,https://photos.zillowstatic.com/p_c/IS3rl50wo6g8mh0000000000.jpg,BUILDER_PLAN,,,45,304990.0,,304990.0,,+,14971479,,False,NC,"Biltmore Plan, Chase View",,1598762760000,https://photos.zillowstatic.com/p_l/IS3rl50wo6g8mh0000000000.jpg,https://photos.zillowstatic.com/p_n/IS3rl50wo6g8mh0000000000.jpg,https://photos.zillowstatic.com/p_m/IS3rl50wo6g8mh0000000000.jpg,# 5J0SFJ,,https://photos.zillowstatic.com/p_j/IS3rl50wo6g8mh0000000000.jpg,296378,28105,2085280413
2.0,3.0,12949,Clover,,USA,USD,,,8,https://photos.zillowstatic.com/p_h/ISniod8mikbof91000000000.jpg,BUILDER_COMMUNITY,Harpers Pointe,https://photos.zillowstatic.com/p_f/ISniod8mikbof91000000000.jpg,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/ISniod8mikbof91000000000.jpg,False,True,False,True,,False,False,35.053619,{'is_newHome': True},3909.0,-81.040643,,,https://photos.zillowstatic.com/p_c/ISniod8mikbof91000000000.jpg,BUILDER_PLAN,,,7,504990.0,,504990.0,,+,14476565,,False,SC,"Conrad Basement Plan, Harpers Pointe",,1598755920000,https://photos.zillowstatic.com/p_l/ISniod8mikbof91000000000.jpg,https://photos.zillowstatic.com/p_n/ISniod8mikbof91000000000.jpg,https://photos.zillowstatic.com/p_m/ISniod8mikbof91000000000.jpg,# WZYSX3,,https://photos.zillowstatic.com/p_j/ISniod8mikbof91000000000.jpg,492800,29710,2080096063
3.0,3.0,12653,Charlotte,,USA,USD,,,8,https://photos.zillowstatic.com/p_h/IS7ytrhz5n980p0000000000.jpg,BUILDER_COMMUNITY,The Woods at Davis Lake,https://photos.zillowstatic.com/p_f/IS7ytrhz5n980p0000000000.jpg,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/IS7ytrhz5n980p0000000000.jpg,False,True,False,True,,False,False,35.33755,{'is_newHome': True},1774.0,-80.81651,,,https://photos.zillowstatic.com/p_c/IS7ytrhz5n980p0000000000.jpg,BUILDER_PLAN,,,36,258990.0,,258990.0,,+,39970,,False,NC,"Carson Plan, The Woods at Davis Lake",,1598754480000,https://photos.zillowstatic.com/p_l/IS7ytrhz5n980p0000000000.jpg,https://photos.zillowstatic.com/p_n/IS7ytrhz5n980p0000000000.jpg,https://photos.zillowstatic.com/p_m/IS7ytrhz5n980p0000000000.jpg,# SI0VPA,,https://photos.zillowstatic.com/p_j/IS7ytrhz5n980p0000000000.jpg,253991,28269,2078941970
4.0,4.0,11527,Charlotte,,USA,USD,,,8,https://photos.zillowstatic.com/p_h/ISfsytguarayo31000000000.jpg,BUILDER_COMMUNITY,The Palisades : Morningside - Legends,https://photos.zillowstatic.com/p_f/ISfsytguarayo31000000000.jpg,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/ISfsytguarayo31000000000.jpg,False,True,False,True,,False,False,35.074,{'is_newHome': True},4000.0,-81.0321,,,https://photos.zillowstatic.com/p_c/ISfsytguarayo31000000000.jpg,BUILDER_PLAN,,,14,387999.0,,387999.0,,+,11251334,2345,False,NC,"Hunter Basement Plan, The Palisades : Morningside - Legends",,1598753040000,https://photos.zillowstatic.com/p_l/ISfsytguarayo31000000000.jpg,https://photos.zillowstatic.com/p_n/ISfsytguarayo31000000000.jpg,https://photos.zillowstatic.com/p_m/ISfsytguarayo31000000000.jpg,# LVKLTV,,https://photos.zillowstatic.com/p_j/ISfsytguarayo31000000000.jpg,,28278,2085556662
2.0,3.0,15893,Charlotte,,USA,USD,,,8,https://photos.zillowstatic.com/p_h/ISb95ruj2gvukc1000000000.jpg,,,https://photos.zillowstatic.com/p_f/ISb95ruj2gvukc1000000000.jpg,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/ISb95ruj2gvukc1000000000.jpg,False,True,False,False,,False,False,35.187354,{'is_FSBA': True},1523.0,-80.747737,,0.5599862258953168,https://photos.zillowstatic.com/p_c/ISb95ruj2gvukc1000000000.jpg,,,,23,207000.0,,207000.0,,,,,False,NC,3101 Glenelm Ct #5,,1598751240000,https://photos.zillowstatic.com/p_l/ISb95ruj2gvukc1000000000.jpg,https://photos.zillowstatic.com/p_n/ISb95ruj2gvukc1000000000.jpg,https://photos.zillowstatic.com/p_m/ISb95ruj2gvukc1000000000.jpg,# 5,,https://photos.zillowstatic.com/p_j/ISb95ruj2gvukc1000000000.jpg,207001,28212,2078044748
3.0,4.0,12653,Charlotte,,USA,USD,,,8,https://photos.zillowstatic.com/p_h/IS7i1vksyfx4vo1000000000.jpg,BUILDER_COMMUNITY,Highland Knoll,https://photos.zillowstatic.com/p_f/IS7i1vksyfx4vo1000000000.jpg,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/IS7i1vksyfx4vo1000000000.jpg,False,True,False,True,,False,False,35.37257,{'is_newHome': True},2454.0,-80.76888,,,https://photos.zillowstatic.com/p_c/IS7i1vksyfx4vo1000000000.jpg,BUILDER_PLAN,,,37,320990.0,,320990.0,,+,28705386,,False,NC,"Charleston Plan, Highland Knoll",,1598747640000,https://photos.zillowstatic.com/p_l/IS7i1vksyfx4vo1000000000.jpg,https://photos.zillowstatic.com/p_n/IS7i1vksyfx4vo1000000000.jpg,https://photos.zillowstatic.com/p_m/IS7i1vksyfx4vo1000000000.jpg,# 6L49IQ,,https://photos.zillowstatic.com/p_j/IS7i1vksyfx4vo1000000000.jpg,311926,28269,2079481965
3.0,5.0,12653,Charlotte,,USA,USD,,,8,https://photos.zillowstatic.com/p_h/ISf0tyitl8ne3t0000000000.jpg,BUILDER_COMMUNITY,Lanier Village,https://photos.zillowstatic.com/p_f/ISf0tyitl8ne3t0000000000.jpg,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/ISf0tyitl8ne3t0000000000.jpg,False,True,False,True,,False,False,35.24669,{'is_newHome': True},2454.0,-80.67323,,,https://photos.zillowstatic.com/p_c/ISf0tyitl8ne3t0000000000.jpg,BUILDER_PLAN,,,40,299990.0,,299990.0,,+,28785570,1795,False,NC,"Charleston Plan, Lanier Village",,1598747280000,https://photos.zillowstatic.com/p_l/ISf0tyitl8ne3t0000000000.jpg,https://photos.zillowstatic.com/p_n/ISf0tyitl8ne3t0000000000.jpg,https://photos.zillowstatic.com/p_m/ISf0tyitl8ne3t0000000000.jpg,# 9DYJQT,,https://photos.zillowstatic.com/p_j/ISf0tyitl8ne3t0000000000.jpg,289624,28215,2082625833
3.0,3.0,12653,Matthews,,USA,USD,,,8,https://photos.zillowstatic.com/p_h/ISf8baqzqr98gh0000000000.jpg,BUILDER_COMMUNITY,Chase View,https://photos.zillowstatic.com/p_f/ISf8baqzqr98gh0000000000.jpg,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/ISf8baqzqr98gh0000000000.jpg,False,True,False,True,,False,False,35.16156,{'is_newHome': True},2175.0,-80.72034,,,https://photos.zillowstatic.com/p_c/ISf8baqzqr98gh0000000000.jpg,BUILDER_PLAN,,,39,288990.0,,288990.0,,+,14971479,,False,NC,"Penwell Plan, Chase View",,1598745840000,https://photos.zillowstatic.com/p_l/ISf8baqzqr98gh0000000000.jpg,https://photos.zillowstatic.com/p_n/ISf8baqzqr98gh0000000000.jpg,https://photos.zillowstatic.com/p_m/ISf8baqzqr98gh0000000000.jpg,# 22BLSU,,https://photos.zillowstatic.com/p_j/ISf8baqzqr98gh0000000000.jpg,280498,28105,2080098105
2.0,2.0,11527,Charlotte,,USA,USD,,,8,https://photos.zillowstatic.com/p_h/ISv4b0p32c6el51000000000.jpg,BUILDER_COMMUNITY,The Palisades : The Gardens at Highcliff,https://photos.zillowstatic.com/p_f/ISv4b0p32c6el51000000000.jpg,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/ISv4b0p32c6el51000000000.jpg,False,True,False,True,,False,False,35.074,{'is_newHome': True},1816.0,-81.0321,,,https://photos.zillowstatic.com/p_c/ISv4b0p32c6el51000000000.jpg,BUILDER_PLAN,,,14,316990.0,,316990.0,,+,10562098,1750,False,NC,"Canton Plan, The Palisades : The Gardens at Highcliff",,1598743320000,https://photos.zillowstatic.com/p_l/ISv4b0p32c6el51000000000.jpg,https://photos.zillowstatic.com/p_n/ISv4b0p32c6el51000000000.jpg,https://photos.zillowstatic.com/p_m/ISv4b0p32c6el51000000000.jpg,# BQBUFX,,https://photos.zillowstatic.com/p_j/ISv4b0p32c6el51000000000.jpg,,28278,2085556675
3.0,3.0,12653,Charlotte,,USA,USD,,,8,https://photos.zillowstatic.com/p_h/ISb1jwdao5c7tr1000000000.jpg,BUILDER_COMMUNITY,Sutton Farms,https://photos.zillowstatic.com/p_f/ISb1jwdao5c7tr1000000000.jpg,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/ISb1jwdao5c7tr1000000000.jpg,False,True,False,True,,False,False,35.30652,{'is_newHome': True},1854.0,-80.91064,,,https://photos.zillowstatic.com/p_c/ISb1jwdao5c7tr1000000000.jpg,BUILDER_PLAN,,,17,269990.0,,269990.0,,+,40184,1650,False,NC,"Hamilton Plan, Sutton Farms",,1598737200000,https://photos.zillowstatic.com/p_l/ISb1jwdao5c7tr1000000000.jpg,https://photos.zillowstatic.com/p_n/ISb1jwdao5c7tr1000000000.jpg,https://photos.zillowstatic.com/p_m/ISb1jwdao5c7tr1000000000.jpg,# WZ3MDG,,https://photos.zillowstatic.com/p_j/ISb1jwdao5c7tr1000000000.jpg,,28216,2082990023
